fdcId,name,name_norm,label,gram_weight,kcal_per_portion,measure_unit,amount,modifier,category
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,"1.0 each medium (about 5"" dia)",552.0,187.68,each,1.0,"medium (about 5"" dia)",Fruits and Fruit Juices
746770,"Melons, cantaloupe, raw",melons cantaloupe raw,1.0 wedge small (1/8 of small melon),55.0,18.7,wedge,1.0,small (1/8 of small melon),Fruits and Fruit Juices
746771,"Oranges, raw, navels",oranges raw navels,1.0 cup sections no membranes,165.0,77.55,cup,1.0,sections no membranes,Fruits and Fruit Juices
746771,"Oranges, raw, navels",oranges raw navels,"1.0 each  2-7/8"" dia",140.0,65.8,each,1.0," 2-7/8"" dia",Fruits and Fruit Juices
746772,"Milk, lowfat, fluid, 1% milkfat, with added vitamin A and vitamin D",milk lowfat fluid 1% milkfat with added vitamin a and vitamin d,1.0 cup,246.0,105.78,cup,1.0,,Dairy and Egg Products
746773,"Pears, raw, bartlett",pears raw bartlett,1.0 cup slices,140.0,79.8,cup,1.0,slices,Fruits and Fruit Juices
746773,"Pears, raw, bartlett",pears raw bartlett,1.0 each medium,178.0,101.46,each,1.0,medium,Fruits and Fruit Juices
746773,"Pears, raw, bartlett",pears raw bartlett,1.0 each large,230.0,131.1,each,1.0,large,Fruits and Fruit Juices
746773,"Pears, raw, bartlett",pears raw bartlett,1.0 each small,148.0,84.36,each,1.0,small,Fruits and Fruit Juices
746774,"Restaurant, Chinese, sweet and sour pork",restaurant chinese sweet and sour pork,1.0 order,611.0,1588.6,order,1.0,,Restaurant Foods
746774,"Restaurant, Chinese, sweet and sour pork",restaurant chinese sweet and sour pork,3.0 pieces,41.8,108.68,pieces,3.0,,Restaurant Foods
746775,"Salt, table, iodized",salt table iodized,1.0 teaspoon,6.1,,teaspoon,1.0,,Spices and Herbs
746776,"Milk, nonfat, fluid, with added vitamin A and vitamin D (fat free or skim)",milk nonfat fluid with added vitamin a and vitamin d fat free or skim,1.0 cup,246.0,83.64,cup,1.0,,Dairy and Egg Products
746777,"Sauce, salsa, ready-to-serve",sauce salsa ready-to-serve,2.0 tablespoon,35.7,10.35,tablespoon,2.0,,"Soups, Sauces, and Gravies"
746778,"Milk, reduced fat, fluid, 2% milkfat, with added vitamin A and vitamin D",milk reduced fat fluid 2% milkfat with added vitamin a and vitamin d,1.0 cup,245.0,122.5,cup,1.0,,Dairy and Egg Products
746779,"Sausage, breakfast sausage, beef, pre-cooked, unprepared",sausage breakfast sausage beef pre-cooked unprepared,1.0 link,18.6,61.01,link,1.0,,Sausages and Luncheon Meats
746780,"Sausage, Italian, pork, mild, cooked, pan-fried",sausage italian pork mild cooked pan-fried,1.0 link medium,86.6,278.85,link,1.0,medium,Sausages and Luncheon Meats
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",sausage pork chorizo link or ground cooked pan-fried,1.0 link long,186.0,643.56,link,1.0,long,Sausages and Luncheon Meats
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",sausage pork chorizo link or ground cooked pan-fried,1.0 cup ground,185.0,640.1,cup,1.0,ground,Sausages and Luncheon Meats
746781,"Sausage, pork, chorizo, link or ground, cooked, pan-fried",sausage pork chorizo link or ground cooked pan-fried,1.0 link medium,80.4,278.18,link,1.0,medium,Sausages and Luncheon Meats
746782,"Milk, whole, 3.25% milkfat, with added vitamin D",milk whole 3.25% milkfat with added vitamin d,1.0 cup,249.0,149.4,cup,1.0,,Dairy and Egg Products
746783,"Sausage, turkey, breakfast links, mild, raw",sausage turkey breakfast links mild raw,1.0 package,450.0,760.5,package,1.0,,Sausages and Luncheon Meats
746783,"Sausage, turkey, breakfast links, mild, raw",sausage turkey breakfast links mild raw,1.0 link,27.9,47.15,link,1.0,,Sausages and Luncheon Meats
746784,"Sugars, granulated",sugars granulated,1.0 teaspoon,4.0,15.4,teaspoon,1.0,,Sweets
746784,"Sugars, granulated",sugars granulated,1.0 cup,188.0,723.8,cup,1.0,,Sweets
746785,"Turkey, ground, 93% lean, 7% fat, pan-broiled crumbles",turkey ground 93% lean 7% fat pan-broiled crumbles,1.0 paired cooked w crumbles,155.0,341.0,paired cooked w,1.0,crumbles,Poultry Products
746952,"Ham, sliced, restaurant",ham sliced restaurant,1.0 slice,16.2,19.6,slice,1.0,,Pork Products
747429,"Cheese, American, restaurant",cheese american restaurant,1.0 slice,16.0,60.0,slice,1.0,,Dairy and Egg Products
747447,"Broccoli, raw",broccoli raw,1.0 cup chopped,76.0,23.56,cup,1.0,chopped,Vegetables and Vegetable Products
747997,"Eggs, Grade A, Large, egg white",eggs grade a large egg white,1.0 egg white,34.0,18.7,egg,1.0,white,Dairy and Egg Products
748236,"Eggs, Grade A, Large, egg yolk",eggs grade a large egg yolk,1.0 egg yolk,17.0,56.78,egg,1.0,yolk,Dairy and Egg Products
748278,"Oil, canola",oil canola,100.0 milliliter,90.9,,milliliter,100.0,,Fats and Oils
748323,"Oil, corn",oil corn,100.0 milliliter,91.3,,milliliter,100.0,,Fats and Oils
748366,"Oil, soybean",oil soybean,100.0 milliliter,91.3,,milliliter,100.0,,Fats and Oils
748608,"Oil, olive, extra virgin",oil olive extra virgin,100.0 milliliter,90.7,,milliliter,100.0,,Fats and Oils
748967,"Eggs, Grade A, Large, egg whole",eggs grade a large egg whole,1.0 egg whole without shell,50.3,74.44,egg,1.0,whole without shell,Dairy and Egg Products
749420,"Pork, cured, bacon, cooked, restaurant",pork cured bacon cooked restaurant,1.0 slice,6.3,31.5,slice,1.0,,Pork Products
790577,"Onions, red, raw",onions red raw,1.0 Onion Edible,197.0,86.68,onion,1.0,edible,Vegetables and Vegetable Products
790646,"Onions, yellow, raw",onions yellow raw,1.0 Onion Edible,143.0,54.34,onion,1.0,edible,Vegetables and Vegetable Products
1105073,"Bananas, overripe, raw",bananas overripe raw,1.0 Banana Peeled,110.0,93.5,banana,1.0,peeled,Fruits and Fruit Juices
1105314,"Bananas, ripe and slightly ripe, raw",bananas ripe and slightly ripe raw,1.0 Banana Peeled,115.0,111.55,banana,1.0,peeled,Fruits and Fruit Juices
